Afst;Omschrijving;Locatie
-;Vertrek W.P. 2: Wylerbergmeer;-
-;Volgens errata;-
2,0;Linksad de brug over;Let op: Betonblok!
2,3;Steek de kapitteldijk over en sla direct rechtsaf;blijf op het fietspad lopen.;Gevaarlijke kruising
4,1;Rechtsaf de weg oversteken, riching Leuth;Steenheuvelsestraat
4,3;Loop Leuth in;-
5,2;Sla de 4e straat rechtsaf (afslag tegenover de kerk);Plezenbrugsestraat
5,8;Bij zijstraat rechtdoor en loop Leuth uit;-
6,5;Slag rechtsaf de Groenestraat in;Pas op Onverhard
6,9;Steek het bruggetje over;Grüner Weg
7,6;Bij 2 zijstraten rechtdoor;-
8,3;Steek de Millingerstrasse rechtdoor over;-
8,4;Het wisselpunt is 25m na de kruising;-
Aankomst W.P. 3: Niel;;
